bp_rp,g_rp
1.7281647,0.8702507
0.7145138,0.9169483
1.2394094,0.70170593
1.0812016,0.593256
2.1229382,1.170618
2.117525,1.5528488
2.5406628,1.6655426
0.80020714,0.528492
1.2269154,0.7023449
1.5988579,0.8499565
1.653305,0.69675255
1.9525089,3.2599125
1.1113281,0.649353
2.0130978,1.1576481
1.3415318,0.74967575
1.1740074,1.0385151
1.8472633,0.98565674
1.4975529,0.9320297
1.5642872,0.8263855
0.9233551,0.7325878
1.2003937,0.67661095
1.0562611,0.5899887
1.0625858,0.7842407
1.440568,0.7894583
1.4115019,0.78493977
1.3735008,0.7602711
1.4034748,0.75561714
1.322917,0.7355766
1.3490143,0.7399502
0.8691368,0.5954704
1.0888042,0.6145916
1.1093111,0.64104176
2.5269299,1.7074833
0.6675606,0.7096958
0.70368767,0.86242294
1.1613388,0.72266006
1.1480122,0.8992481
1.4425964,0.7745075
2.4692135,1.2806835
1.9069061,3.3979206
2.0607014,1.0970745
0.7186527,0.54242706
1.2704678,0.6881027
1.3178673,0.72457314
1.5884113,0.87366295
1.4375839,0.78614235
1.9076691,1.0884209
2.0455055,1.0051775
1.7035389,0.898283
